date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:25	30549/30549	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Mar%202022%2006:29:12%20GMT	https://templates.hibootstrap.com/pily/default/index.html	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/index.html	(from )
18:22:26	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Apr%202022%2012:52:26%20GMT	https://templates.hibootstrap.com/robots.txt		(from )
18:22:27	163833/163833	---MCZ	200	added ('OK')	text/css	etag:W/%226240043f-27ff9%22	https://templates.hibootstrap.com/pily/default/assets/css/bootstrap.min.css	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/css/bootstrap.min.css	(from https://templates.hibootstrap.com/pily/default/index.html)
18:22:28	92220/92220	---MCZ	200	added ('OK')	text/css	etag:W/%226240043f-1683c%22	https://templates.hibootstrap.com/pily/default/assets/css/icofont.min.css	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/css/icofont.min.css	(from https://templates.hibootstrap.com/pily/default/index.html)
18:22:28	5754/5754	---MCZ	200	added ('OK')	text/css	etag:W/%226240043f-1d71%22	https://templates.hibootstrap.com/pily/default/assets/css/meanmenu.css	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/css/meanmenu.css	(from https://templates.hibootstrap.com/pily/default/index.html)
18:22:28	71756/71756	---MCZ	200	added ('OK')	text/css	etag:W/%226240043f-1184c%22	https://templates.hibootstrap.com/pily/default/assets/css/animate.min.css	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/css/animate.min.css	(from https://templates.hibootstrap.com/pily/default/index.html)
18:22:28	3116/3116	---MCZ	200	added ('OK')	text/css	etag:W/%2262400440-c2c%22	https://templates.hibootstrap.com/pily/default/assets/css/odometer.min.css	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/css/odometer.min.css	(from https://templates.hibootstrap.com/pily/default/index.html)
18:22:29	3356/3356	---MCZ	200	added ('OK')	text/css	etag:W/%2262400440-d1c%22	https://templates.hibootstrap.com/pily/default/assets/css/owl.carousel.min.css	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/css/owl.carousel.min.css	(from https://templates.hibootstrap.com/pily/default/index.html)
18:22:29	1018/1018	---MCZ	200	added ('OK')	text/css	etag:W/%2262400440-3fa%22	https://templates.hibootstrap.com/pily/default/assets/css/owl.theme.default.min.css	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/css/owl.theme.default.min.css	(from https://templates.hibootstrap.com/pily/default/index.html)
18:22:29	2070/2070	---MCZ	200	added ('OK')	text/css	etag:W/%226240043f-816%22	https://templates.hibootstrap.com/pily/default/assets/css/modal-video.min.css	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/css/modal-video.min.css	(from https://templates.hibootstrap.com/pily/default/index.html)
18:22:29	3070/3070	---MCZ	200	added ('OK')	text/css	etag:W/%226240043f-bfe%22	https://templates.hibootstrap.com/pily/default/assets/css/nice-select.min.css	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/css/nice-select.min.css	(from https://templates.hibootstrap.com/pily/default/index.html)
18:22:30	74578/74578	---MCZ	200	added ('OK')	text/css	etag:W/%2262400440-179bb%22	https://templates.hibootstrap.com/pily/default/assets/css/style.css	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/css/style.css	(from https://templates.hibootstrap.com/pily/default/index.html)
18:22:30	16014/16014	---MCZ	200	added ('OK')	text/css	etag:W/%2262400440-5c34%22	https://templates.hibootstrap.com/pily/default/assets/css/responsive.css	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/css/responsive.css	(from https://templates.hibootstrap.com/pily/default/index.html)
18:22:30	6300/6300	---MCZ	200	added ('OK')	text/css	etag:W/%2262400441-1ed8%22	https://templates.hibootstrap.com/pily/default/assets/css/theme-dark.css	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/css/theme-dark.css	(from https://templates.hibootstrap.com/pily/default/index.html)
18:22:31	1450/1450	---M--	200	added ('OK')	image/png	etag:%2262400447-7cf%22	https://templates.hibootstrap.com/pily/default/assets/images/favicon.png	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/favicon.png	(from https://templates.hibootstrap.com/pily/default/index.html)
